size of df :  22356
0/2400, part=0 OVER_QUERY_LIMIT
1/2400, part=0 OVER_QUERY_LIMIT
2/2400, part=0 OVER_QUERY_LIMIT
3/2400, part=0 OVER_QUERY_LIMIT
4/2400, part=0 OVER_QUERY_LIMIT
5/2400, part=0 OVER_QUERY_LIMIT
6/2400, part=0 OVER_QUERY_LIMIT
7/2400, part=0 OVER_QUERY_LIMIT
8/2400, part=0 OVER_QUERY_LIMIT
9/2400, part=0 OVER_QUERY_LIMIT
10/2400, part=0 OVER_QUERY_LIMIT
11/2400, part=0 OVER_QUERY_LIMIT
12/2400, part=0 OVER_QUERY_LIMIT
13/2400, part=0 OVER_QUERY_LIMIT
14/2400, part=0 OVER_QUERY_LIMIT
15/2400, part=0 OVER_QUERY_LIMIT
16/2400, part=0 OVER_QUERY_LIMIT
17/2400, part=0 OVER_QUERY_LIMIT
18/2400, part=0 OVER_QUERY_LIMIT
19/2400, part=0 OVER_QUERY_LIMIT
20/2400, part=0 OVER_QUERY_LIMIT
21/2400, part=0 OVER_QUERY_LIMIT
22/2400, part=0 OVER_QUERY_LIMIT
23/2400, part=0 OVER_QUERY_LIMIT
24/2400, part=0 OVER_QUERY_LIMIT
25/2400, part=0 OVER_QUERY_LIMIT
26/2400, part=0 OVER_QUERY_LIMIT
27/2400, part=0 OVER_QUERY_LIMIT
28/2400, part=0 OVER_QUERY_LIMIT
29/2400, part=0 OVER_QUERY_LIMIT
30/2400, part=0 OVER_QUERY_LIMIT
31/2400, part=0 OVER_QUERY_LIMIT
32/2400, part=0 OVER_QUERY_LIMIT
33/2400, part=0 OVER_QUERY_LIMIT
34/2400, part=0 OVER_QUERY_LIMIT
35/2400, part=0 OVER_QUERY_LIMIT
36/2400, part=0 OVER_QUERY_LIMIT
37/2400, part=0 OVER_QUERY_LIMIT
38/2400, part=0 OVER_QUERY_LIMIT
39/2400, part=0 OVER_QUERY_LIMIT
40/2400, part=0 OVER_QUERY_LIMIT
41/2400, part=0 OVER_QUERY_LIMIT
42/2400, part=0 OVER_QUERY_LIMIT
43/2400, part=0 OVER_QUERY_LIMIT
44/2400, part=0 OVER_QUERY_LIMIT
45/2400, part=0 OVER_QUERY_LIMIT
46/2400, part=0 OVER_QUERY_LIMIT
47/2400, part=0 OVER_QUERY_LIMIT
48/2400, part=0 OVER_QUERY_LIMIT
49/2400, part=0 OVER_QUERY_LIMIT
50/2400, part=0 OVER_QUERY_LIMIT
51/2400, part=0 OVER_QUERY_LIMIT
52/2400, part=0 OVER_QUERY_LIMIT
53/2400, part=0 OVER_QUERY_LIMIT
54/2400, part=0 OVER_QUERY_LIMIT
55/2400, part=0 OVER_QUERY_LIMIT
56/2400, part=0 OVER_QUERY_LIMIT
57/2400, part=0 OVER_QUERY_LIMIT
58/2400, part=0 OVER_QUERY_LIMIT
59/2400, part=0 OVER_QUERY_LIMIT
60/2400, part=0 OVER_QUERY_LIMIT
61/2400, part=0 OVER_QUERY_LIMIT
62/2400, part=0 OVER_QUERY_LIMIT
63/2400, part=0 OVER_QUERY_LIMIT
64/2400, part=0 OVER_QUERY_LIMIT
65/2400, part=0 OVER_QUERY_LIMIT
66/2400, part=0 OVER_QUERY_LIMIT
67/2400, part=0 OVER_QUERY_LIMIT
68/2400, part=0 OVER_QUERY_LIMIT
69/2400, part=0 OVER_QUERY_LIMIT
70/2400, part=0 OVER_QUERY_LIMIT
71/2400, part=0 OVER_QUERY_LIMIT
72/2400, part=0 OVER_QUERY_LIMIT
73/2400, part=0 OVER_QUERY_LIMIT
74/2400, part=0 OVER_QUERY_LIMIT
75/2400, part=0 OVER_QUERY_LIMIT
76/2400, part=0 OVER_QUERY_LIMIT
77/2400, part=0 OVER_QUERY_LIMIT
78/2400, part=0 OVER_QUERY_LIMIT
79/2400, part=0 OVER_QUERY_LIMIT
80/2400, part=0 OVER_QUERY_LIMIT
81/2400, part=0 OVER_QUERY_LIMIT
82/2400, part=0 OVER_QUERY_LIMIT
83/2400, part=0 OVER_QUERY_LIMIT
84/2400, part=0 OVER_QUERY_LIMIT
85/2400, part=0 OVER_QUERY_LIMIT
86/2400, part=0 OVER_QUERY_LIMIT
87/2400, part=0 OVER_QUERY_LIMIT
88/2400, part=0 OVER_QUERY_LIMIT
89/2400, part=0 OVER_QUERY_LIMIT
90/2400, part=0 OVER_QUERY_LIMIT
91/2400, part=0 OVER_QUERY_LIMIT
92/2400, part=0 OVER_QUERY_LIMIT
93/2400, part=0 OVER_QUERY_LIMIT
94/2400, part=0 OVER_QUERY_LIMIT
95/2400, part=0 OVER_QUERY_LIMIT
96/2400, part=0 OVER_QUERY_LIMIT
97/2400, part=0 OVER_QUERY_LIMIT
98/2400, part=0 OVER_QUERY_LIMIT
99/2400, part=0 OVER_QUERY_LIMIT
100/2400, part=0 OVER_QUERY_LIMIT
101/2400, part=0 OVER_QUERY_LIMIT
102/2400, part=0 OVER_QUERY_LIMIT
103/2400, part=0 OVER_QUERY_LIMIT
104/2400, part=0 OVER_QUERY_LIMIT
105/2400, part=0 OVER_QUERY_LIMIT
106/2400, part=0 OVER_QUERY_LIMIT
107/2400, part=0 OVER_QUERY_LIMIT
108/2400, part=0 OVER_QUERY_LIMIT
109/2400, part=0 OVER_QUERY_LIMIT
110/2400, part=0 OVER_QUERY_LIMIT
111/2400, part=0 OVER_QUERY_LIMIT
112/2400, part=0 OVER_QUERY_LIMIT
113/2400, part=0 OVER_QUERY_LIMIT
114/2400, part=0 OVER_QUERY_LIMIT
115/2400, part=0 OVER_QUERY_LIMIT
116/2400, part=0 OVER_QUERY_LIMIT
117/2400, part=0 OVER_QUERY_LIMIT
118/2400, part=0 OVER_QUERY_LIMIT
119/2400, part=0 OVER_QUERY_LIMIT
